
         0:   ТРЕБУЕТСЯ ЛОГИЧЕСКОЕ ВЫРАЖЕНИЕ
         1:   НЕТ НИ ЗАПЯТОЙ НИ ТОЧКИ С ЗАПЯТОЙ
         2:   ИДЕНТИФИКАТОР УЖЕ ОПРЕДЕЛЕН
         3:   НЕТ ИДЕНТИФИКАТОРА
         4:   ИДЕНТ НЕ ИДЕНТ ТИПА
         5:   ТРЕБУЕТСЯ ПРОСТОЙ ТИП
         6:   НЕТ КОНСТАНТЫ
         7:   ТРЕБУЕТСЯ КОНСТАНТА ИНОГО ТИПА
         8:   НЕ ИНДЕКСН ТИП
         9:   ТИП НЕ ДОЛЖЕН БЫТЬ ФАЙЛОВЫМ
        10:   КОНСТАНТА НЕ ДИКР-УПОР ТИПА
        11:   ИДЕНТИФИКАТОР НЕ ОПРЕДЕЛЕН
        12:   НЕПРАВИЛЬНЫЙ СИМВОЛ
        13:   ПЕРЕМЕННАЯ НЕ УКАЗАТЕЛЬ
        14:   ВЫРАЖ НЕ ЦЕЛОГО ТИПА
        15:   В ОПЕРАТОРЕ BRANCH НЕЛЬЗЯ С ЦЕЛЫМИ МЕТКАМИ
        16:   МЕТКА НЕ ОПРЕДЕЛЕНА В СПИСКЕ МЕТОК БЛОКА
        17:   МЕТКА УЖЕ ОПРЕДЕЛЕНА В СТРОКЕ
        18:   МЕТКА НЕ ОПРЕДЕЛЕНА
        19:   НЕ ДОЛЖНО БЫТЬ ВЫРАЖЕНИЕ СТРУКТУРНОГО ТИПА
        20:   ЦИФРА БОЛЬШЕ 7
        21:   ТРЕБУЮТСЯ ДРУГИЕ ТИПЫ ОПЕРАНДОВ
        22:   НЕПРАВИЛЬНЫЙ ТИП ПЕРЕМЕННОЙ ПЕРЕД
        23:   ИДЕНТИФИКАТОР ТИПА ВМЕСТО ПЕРЕМЕННОЙ
        24:   ВЫРАЖЕНИЯ В КОНСТРУКТОРЕ МНОЖЕСТВ НЕСОВМ ТИПА
        25:   ВЫРАЖЕНИЕ НЕ ДИСКР УПОР ТИПА
        26:   КАК ПАРАМЕТРЫ СТАНД ПРОЦ И ФУНКЦИИ НЕ ПЕРЕДАЮТСЯ
        27:   НУЖНА ПЕРЕМЕННАЯ-СТОИТ ВЫРАЖЕНИЕ
        28:   РАБОТА С ПЕРЕМЕННОЙ ПОСЛЕ ИНДЕКСАЦИИ УПАК МАСС
        29:   ИНДЕКС НЕ ЛЕЖИТ В ТРЕБУЕМОМ ОТРЕЗКЕ
        30:   НЕТ ПРОСТОЙ ПЕРЕМ ДЛЯ ЦИКЛА
        31:   НЕ СООТВ ТИПЫ ПЕРЕМЕННОЙ ЦИКЛА И ВЫР
        32:   НЕПРАВИЛЬНО НАЧИНАЕТСЯ ОПЕРАТОР
        33:   НЕДОПУСТ ТИПЫ ПРИ ПРИСВАИВАНИИ
        34:   ТИП НЕ СООТВЕТСТ ТИПУ ЭЛЕМЕНТА ФАЙЛА
